Pregunta,Respuesta
electronica,Obtuve respuesta de BD
becas,Obtuve respuesta de BD
calificaciones,No encontre nada en BD
en donde se encuentra el logo de yo soy uam,No encontre nada en BD
en donde se encuentra el edificio AT?,No encontre nada en BD
¿cuales edificios tiene la uami?,No encontre nada en BD
cuales son las evaluaciones de recuperacion,Obtuve respuesta de BD
en donde puedo reponer mi credencial,No encontre nada en BD
profesores de ingenieria electronica,Obtuve respuesta de BD
credenciales,No encontre nada en BD
consejo academico,Obtuve respuesta de BD
renovacion de credencial,Obtuve respuesta de BD
credencial,Obtuve respuesta de BD
licenciatura,Obtuve respuesta de BD
como es la carrera de electronica.,Obtuve respuesta de BD
recursos en laboratorios,Obtuve respuesta de BD
¿como puedo solicitar una constancia?,Obtuve respuesta de BD
